,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition,Z1_ActualVelocity,clamp_pressure,Y1_CurrentFeedback,X1_OutputPower,Y1_DCBusVoltage,M1_CURRENT_FEEDRATE,Y1_DiffAcceleration
7073,29.7,323.0,0.0278,324.0,-856.0,-0.025,4.0,6.25,-6.93e-06,0.0892,20.0,-114.0
5423,28.7,324.0,0.0739,325.0,1880.0,0.0,4.0,2.58,0.000928,0.0586,6.0,-68.7
2838,28.5,325.0,0.111,326.0,-600.0,0.025,3.0,-6.2,0.00142,0.11,6.0,-17.6
12604,55.5,328.0,0.0376,329.0,-2080.0,-0.025,3.0,2.14,-2.23e-05,0.0275,50.0,6.25
14990,29.7,326.0,0.11,327.0,1060.0,0.0,4.0,-2.21,0.000723,0.0568,3.0,-43.8
15079,28.7,325.0,0.0889,327.0,-1250.0,0.0,4.0,1.39,0.000546,0.0204,3.0,0.0
2188,119.0,332.0,2.79e-19,328.0,-1160.0,0.0,4.0,0.835,0.0,2.68e-19,50.0,0.0
13237,27.5,326.0,0.0812,327.0,-194.0,0.025,3.0,4.28,0.000485,0.0909,3.0,-62.5
10365,29.5,325.0,0.0496,327.0,687.0,0.0,4.0,-5.27,-7.47e-06,0.0994,3.0,6.25
10865,27.5,325.0,0.0559,327.0,-1110.0,0.0,4.0,-4.68,-6.99e-06,0.102,3.0,50.0
10632,27.5,326.0,0.0934,327.0,-1860.0,-0.025,4.0,1.26,0.000584,0.0256,3.0,25.0
84,29.5,324.0,0.0911,325.0,-84.3,0.0,4.0,2.45,0.000864,0.0861,6.0,26.09
13402,27.5,325.0,0.0573,327.0,1610.0,0.025,3.0,-4.85,2.62e-05,0.0918,3.0,43.8
8955,27.7,323.0,0.107,324.0,-1110.0,0.0,4.0,-1.94,0.00265,0.0337,12.0,-6.25
7230,29.7,322.0,0.0815,323.0,328.0,0.025,4.0,5.59,0.002,0.15,20.0,-120.1
2999,28.5,325.0,0.0939,326.0,-451.0,0.025,3.0,3.23,0.00118,0.043,6.0,37.9
7865,27.7,323.0,0.122,324.0,240.0,-0.025,4.0,-0.991,0.00374,0.0315,15.0,0.0
17185,28.7,325.0,0.0532,327.0,539.0,-0.025,3.0,6.43,-3.23e-05,0.127,3.0,238.0
15481,32.6,326.0,0.0253,327.0,1500.0,-2.8,4.0,-1.38,-1.59e-06,0.0253,3.0,0.0
14488,29.8,323.0,0.0319,325.0,-2050.0,-3.15,4.0,-0.0989,-1.29e-06,0.0216,3.0,-6.25
23571,29.7,326.0,0.0702,327.0,-1970.0,-0.025,2.5,3.97,0.000141,0.06,3.0,49.191
2202,119.0,332.0,2.79e-19,329.0,-1160.0,0.0,4.0,-0.384,2.32e-08,2.68e-19,50.0,0.0
9975,29.5,325.0,0.0982,327.0,-1460.0,0.0,4.0,-3.55,0.000614,0.0782,3.0,0.0
11675,27.5,326.0,0.238,327.0,1080.0,0.0,4.0,-0.739,0.00186,0.0143,3.0,1.89
12253,29.5,326.0,0.0761,327.0,-1810.0,0.0,3.0,-4.41,0.000469,0.0685,3.0,14.7
16071,28.7,326.0,0.0785,327.0,-718.0,-0.025,4.0,2.89,0.000472,0.0619,3.0,-75.0
18386,119.0,328.0,0.0193,330.0,42.0,0.025,3.0,1.02,1.28e-06,0.027,50.0,25.0
10121,27.5,326.0,0.0686,327.0,-2040.0,0.0,4.0,4.16,4.22e-05,0.0668,3.0,31.3
10602,28.5,325.0,0.104,326.0,-576.0,-0.025,4.0,3.25,0.000682,0.0595,3.0,56.3
397,28.5,324.0,0.078,326.0,1590.0,0.0,4.0,6.08,0.000526,0.119,6.0,-58.64
20491,29.7,325.0,0.137,326.0,-671.0,0.0,3.0,-0.978,0.00563,0.0217,20.0,25.0
16334,27.7,326.0,0.103,327.0,-164.0,0.0,4.0,-1.38,0.00064,0.0341,3.0,-21.56
2963,27.5,325.0,0.117,326.0,921.0,0.025,3.0,-6.76,0.000543,0.115,6.0,16.09
18605,28.7,326.0,0.0903,327.0,-304.0,0.0,3.0,-5.5,0.000402,0.0988,3.0,32.85
10052,29.5,325.0,0.0824,327.0,-1750.0,0.0,4.0,3.25,0.000105,0.0489,3.0,62.831
18044,27.7,325.0,0.0578,327.0,145.0,-0.025,3.0,0.491,0.000347,0.0295,3.0,-6.25
14654,119.0,329.0,0.0197,330.0,-2060.0,-0.025,4.0,-0.263,1.53e-06,0.0212,50.0,25.0
13241,27.5,325.0,0.0728,327.0,-173.0,0.025,3.0,4.3,0.000446,0.0875,3.0,-62.5
25085,27.7,326.0,0.0692,327.0,-664.0,-0.025,2.5,4.65,2.14e-05,0.0735,3.0,44.004
2536,119.0,326.0,2.78e-19,324.0,905.0,0.0,4.0,1.05,-1.07e-06,2.69e-19,20.0,0.0
14652,119.0,328.0,0.0267,330.0,-2060.0,0.025,4.0,-1.69,0.0,0.0179,50.0,0.0
9550,119.0,326.0,0.0191,327.0,383.0,-0.025,4.0,-1.38,0.0,0.0225,50.0,12.5
